Name,Price,URL,Rating,Number of Reviews
The Clownfish Tramp 33 Litre Water Resistant Polyester Two Wheel Laptop Trolley Backpack (Black- Size 48 Cm),"5,699",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTUwODU4Mzg3NDI5ODc6MTY3OTU5NzA5NzpzcF9tdGY6MjAwODAyODgyMjU5OTg6OjA6Og&url=%2FClownfish-Resistant-Polyester-Trolley-Backpack%2Fdp%2FB0BFL7SVSM%2Fref%3Dsr_1_43_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679597097%26sprefix%3Dba%252Caps%252C283%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,5.0 out of 5 stars,2
"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)","4,499",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTUwODU4Mzg3NDI5ODc6MTY3OTU5NzA5NzpzcF9tdGY6MjAxMTc3OTU4NzY5OTg6OjA6Og&url=%2FMOKOBARA-TSBPK12CND22001-Backpack-Modern-Love%2Fdp%2FB08T1769X9%2Fref%3Dsr_1_44_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679597097%26sprefix%3Dba%252Caps%252C283%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA2ZJIE4OXD710M,4.3 out of 5 stars,152
"Tabelito® Casual Laptop Bag 15.6inch (39.6 cm) , 25 LTR Office College School Bags Business Travel Backpack for Men Women Water Resistant Bags(BLACK)",549,https://www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y5S6C2P/ref=sr_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1679597097&sprefix=ba%2Caps%2C283&sr=8-45,4.2 out of 5 stars,"1,603"
"Nivia 5227 Pulse Junior Bag, Others (Orange) (Sky Blue)",294,https://www.amazon.in/Nivia-5227-Pulse-Junior-Others/dp/B08D7QG33Z/ref=sr_1_46?crid=2M096C61O4MLT&keywords=bags&qid=1679597097&sprefix=ba%2Caps%2C283&sr=8-46,3.8 out of 5 stars,156
AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE_0521_Black),376,https://www.amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1679597097&sprefix=ba%2Caps%2C283&sr=8-47,4.3 out of 5 stars,"8,915"
AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,869,https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sr_1_48?crid=2M096C61O4MLT&keywords=bags&qid=1679597097&sprefix=ba%2Caps%2C283&sr=8-48,4.2 out of 5 stars,436
Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,589,https://www.amazon.in/Half-Moon-Waterproof-Laptop-Backpack/dp/B09QM9N1B3/ref=sr_1_49?crid=2M096C61O4MLT&keywords=bags&qid=1679597097&sprefix=ba%2Caps%2C283&sr=8-49,3.6 out of 5 stars,361
motherly Diaper Bags for Mom Travel Basic Edition (Black),"1,536",https://www.amazon.in/Motherly-Diaper-Travel-Basic-Black/dp/B07QXSNDKN/ref=sr_1_50?crid=2M096C61O4MLT&keywords=bags&qid=1679597097&sprefix=ba%2Caps%2C283&sr=8-50,4.5 out of 5 stars,"2,336"
"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",448,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1679597097&sprefix=ba%2Caps%2C283&sr=8-51,4.3 out of 5 stars,"12,366"
Gear Vintage2 Anti Theft Faux Leather 18 cms Tan Laptop Backpack,"1,075",https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH1901/dp/B07G4F3758/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1679597097&sprefix=ba%2Caps%2C283&sr=8-52,4.3 out of 5 stars,"1,463"
Red Lemon Unisex-adult Bange Series Rhombus Shell Design Waterproof Sling Bag with USB Charging,"1,899",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTUwODU4Mzg3NDI5ODc6MTY3OTU5NzA5NzpzcF9idGY6MjAxMzMzMzA0NzE4OTg6OjA6Og&url=%2FRed-Lemon-Unisex-adult-Waterproof-Charging%2Fdp%2FB09VGNTDRZ%2Fref%3Dsr_1_53_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679597097%26sprefix%3Dba%252Caps%252C283%26sr%3D8-53-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,4.1 out of 5 stars,50
"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (GREY)",512,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTUwODU4Mzg3NDI5ODc6MTY3OTU5NzA5NzpzcF9idGY6MjAwODMyNjg0NDY1OTg6OjA6Og&url=%2FBennett-15-6-inch-College-Repellent-Backpack%2Fdp%2FB09WZKHSDR%2Fref%3Dsr_1_54_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679597097%26sprefix%3Dba%252Caps%252C283%26sr%3D8-54-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,4.0 out of 5 stars,443
