Name,Price,URL,Rating,Number of Reviews
"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",448,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1688660536&sprefix=ba%2Caps%2C283&sr=8-41,4.3 out of 5 stars,"12,999"
"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",599,https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1688660536&sprefix=ba%2Caps%2C283&sr=8-42,3.8 out of 5 stars,850
"WALKENT Waterproof 15.6"" Laptop Bag for Men with Side Bottle Pockets, Cushioned Straps & More (Model Aviator, 25 Liters, Black)","3,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzA1NTI5OTEwMzUwNzA2OjE2ODg2NjA1MzY6c3BfbXRmOjMwMDAwNjc3ODYyNjIzMjo6MDo6&url=%2FWALKENT-Waterproof-Pockets-Cushioned-Aviator%2Fdp%2FB0C7KQS5R3%2Fref%3Dsr_1_43_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688660536%26sprefix%3Dba%252Caps%252C283%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,,
scarters | Ultimate Laptop Backpack for Business in Water Resistant Anti-Abrasive Nylon Fabric: Terminal,"12,399",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzA1NTI5OTEwMzUwNzA2OjE2ODg2NjA1MzY6c3BfbXRmOjIwMDM2OTEzOTI1NTk4OjowOjo&url=%2FScarters-Ultimate-Backpack-Resistant-Anti-Abrasive%2Fdp%2FB082PMDYR7%2Fref%3Dsr_1_44_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688660536%26sprefix%3Dba%252Caps%252C283%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,4.7 out of 5 stars,168
Fur Jaden Hiking Camping Rucksack Casual 10 Ltrs Blue Casual Backpack,239,https://www.amazon.in/Fur-Jaden-Rucksack-Backpack-BM43_Blue/dp/B07PS38XSP/ref=sr_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1688660536&sprefix=ba%2Caps%2C283&sr=8-45,3.6 out of 5 stars,"7,886"
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",398,https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_46?crid=2M096C61O4MLT&keywords=bags&qid=1688660536&sprefix=ba%2Caps%2C283&sr=8-46,4.1 out of 5 stars,"9,322"
NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,568,https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3SPN16/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1688660536&sprefix=ba%2Caps%2C283&sr=8-47,3.9 out of 5 stars,791
"Lenovo 15.6"" Casual Backpack B210",749,https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_48?crid=2M096C61O4MLT&keywords=bags&qid=1688660536&sprefix=ba%2Caps%2C283&sr=8-48,4.2 out of 5 stars,"27,722"
URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack,431,https://www.amazon.in/School-school-partition-Collage-Backpack/dp/B09NNYCQ1Q/ref=sr_1_49?crid=2M096C61O4MLT&keywords=bags&qid=1688660536&sprefix=ba%2Caps%2C283&sr=8-49,3.6 out of 5 stars,860
"Storite Dust & Rain Cover for Backpack with Pouch, Waterproof Dustproof Rain Cover Bag Elastic Adjustable for School, College,Office, Trekking Bags (30L-35L,Black)",189,https://www.amazon.in/Storite-Backpack-Waterproof-Dustproof-Adjustable/dp/B0C7ZWNBJZ/ref=sr_1_50?crid=2M096C61O4MLT&keywords=bags&qid=1688660536&sprefix=ba%2Caps%2C283&sr=8-50,5.0 out of 5 stars,1
Tommy Hilfiger Joshua 21 Ltrs Black Laptop Backpack (TH/JOSHUALAP01),"1,919",https://www.amazon.in/Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1688660536&sprefix=ba%2Caps%2C283&sr=8-51,4.1 out of 5 stars,322
Gear Polyester 23 Cms Travel Duffle Bag (Black),479,https://www.amazon.in/Gear-Training-Travel-Black-Grey-DUFCRSTNG0104/dp/B098FFTDKT/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1688660536&sprefix=ba%2Caps%2C283&sr=8-52,4.3 out of 5 stars,"2,156"
Red Lemon Unisex-adult Bange Series Rhombus Shell Design Waterproof Sling Bag with USB Charging (Blue),"1,899",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzA1NTI5OTEwMzUwNzA2OjE2ODg2NjA1MzY6c3BfYnRmOjMwMDAwNzE5MDEyMjYzMjo6MDo6&url=%2FRed-Lemon-Unisex-adult-Waterproof-Charging%2Fdp%2FB09VGNTJTN%2Fref%3Dsr_1_53_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688660536%26sprefix%3Dba%252Caps%252C283%26sr%3D8-53-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,4.2 out of 5 stars,14
"ARCTIC HUNTER 15.6"" Laptop Bag (Model Aura) Two Side Bottle Pocket, Waterproof, Multi-Function Pockets for Office College Men Women","3,590",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzA1NTI5OTEwMzUwNzA2OjE2ODg2NjA1MzY6c3BfYnRmOjIwMTUzNTUyNzQyNzk4OjowOjo&url=%2FWALKENT-Bagpack-Waterproof-Function-Pockets%2Fdp%2FB09BVWXBFG%2Fref%3Dsr_1_54_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688660536%26sprefix%3Dba%252Caps%252C283%26sr%3D8-54-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,4.4 out of 5 stars,61
