Description,ASIN,Product Description,Manufacturer
"uppercase Medium 21L Quilted Laptop Backpack 2500EBP2 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",B0BNVXG27V,,Acefour Accessories Pvt. Ltd.
Tommy Hilfiger Joshua 15 inch 21 Ltrs Light Grey Laptop Backpack (TH/JOSHUALAP07),B07N8GRWTZ,,Iff Overseas Pvt Ltd
VIP Polypropylene 48 Cms Travel Bag(DFENDEBRN_Brown),B0B527KJQZ,"VIP ENDURA, the one stop solution for all your micro travel needs, Speciaous main compartment, Soft Grip handles, Padded, Comfortable, Easy access front pocket, Stylish Design","VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India"
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.",B097JHQH13,"How do you describe a Perfect Backpack? Spacious enough to carry a lot of stuff, yet Light Weight! Padded Laptop Sleeve to keep it secure and sound. Multiple Pockets to segregate all the items and keep it easily accessible. An Organizer to keep your each and every school supplies in an arranged manner. Side Pocket to keep the Water Bottle. Water Resistant exteriors to keep all your worries at bay and lastly, latest and trendy design to keep those ""Cute Bagpack"" compliment coming in! Yes. We have that Perfect Bag for you, in our Genie store. Bringing you a cute, stylish and trendy design, Genie Glitter School Bag.",Safari
COSMUS Jackson Aerogram leather Travel Laptop Backpack for up to 15.6 inch Laptop,B0B6RNNJGX,"This spacious and classic backpack from Cosmus will be ideal for people that are always on-the-go. It comes with a laptop sleeve ideal for 15.6-inch laptops. Its multiple pockets offer you ample space to store your books, files, laptop and other accessories like mouse, iPod, mobile, pens, etc. Keeps you well organized during travel or work. Made of premium quality and durable PU leather, this sturdy rugged style bag features a unique design with vintage design. Its soft padding and adjustable and padded shoulder straps make it comfortable for usage.",COSMUS BAGS PVT.LTD.
Gear Workspace 18L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women-Black,B097KGL2M5,"Gear bags are designed for the quick commute as well for the long journey. These backpacks can be used as laptop bags, adventure bags and so on. Your favorite travel companion, the backpacks come with enough storage space to carry all your requirements.",Gear
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",B0BTD4S4XF,"A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self",EXPERTS
NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,B071KNXQ7Y,It ensures an easy maintenance. This product helps you make a style statement.,Freewill Sports Private Limited
"Luv Lap Baby Breast Milk Storage Bags (Pack of 50), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent",B099ZVTNCP,"Baby Breast Milk Storage Bags, BPA Free Disposable Milk Freezer Bags for Breast Feeding (Pack of 50 Bags)",Universal Corporation Limited
The Vertical Unisex 25 Ltrs Laptop Backpack (Up to 14 Inch) With 2 Compartments,B09FGH5JFP,"The Vertical Backpack and Business cases are perfect for a day on the trail or the daily grind. The multi-compartment design keeps your gear organized. The straps are adjustable & softly padded for perfectly carrying on shoulders. For days at the work or school,",SAAV IND
